year;study;id;t;n;r
1998;Paggioaro;24;ICS;142;0
1998;Paggioaro;24;Placebo;139;2
1999;Pauwels;22;ICS;634;8
1999;Pauwels;22;Placebo;643;10
1999;Vestbo;23;ICS;145;4
1999;Vestbo;23;Placebo;145;5
2000;Burge;21;ICS;376;32
2000;Burge;21;Placebo;375;36
2002;Casaburi;11;TIO-HH;550;7
2002;Casaburi;11;Placebo;317;7
2002;Chapman;17;LABA;201;1
2002;Chapman;17;Placebo;207;2
2002;van der Valk;20;ICS;123;4
2002;van der Valk;20;Placebo;121;0
2002;Mahler;41;LABA-ICS;166;0.5
2002;Mahler;41;LABA;161;0.5
2002;Mahler;41;ICS;169;0.5
2002;Mahler;41;Placebo;182;3.5
2003;Brusasco;13;TIO-HH;402;1
2003;Brusasco;13;LABA;405;6
2003;Brusasco;13;Placebo;400;5
2003;Hanania;37;LABA-ICS;178;0
2003;Hanania;37;LABA;177;0
2003;Hanania;37;ICS;183;0
2003;Hanania;37;Placebo;185;0
2003;Calverley_b;38;LABA-ICS;358;2
2003;Calverley_b;38;LABA;372;3
2003;Calverley_b;38;ICS;374;3
2003;Calverley_b;38;Placebo;361;7
2003;Calverley_c;39;LABA-ICS;254;5
2003;Calverley_c;39;LABA;255;13
2003;Calverley_c;39;ICS;257;6
2003;Calverley_c;39;Placebo;256;5
2003;Szafranski;40;LABA-ICS;208;6
2003;Szafranski;40;LABA;201;6
2003;Szafranski;40;ICS;198;5
2003;Szafranski;40;Placebo;205;9
2005;Dusser;8;TIO-HH;500;7
2005;Dusser;8;Placebo;510;8
2005;Casaburi;9;TIO-HH;55;1
2005;Casaburi;9;Placebo;53;0
2005;Niewoehner;10;TIO-HH;914;22
2005;Niewoehner;10;Placebo;915;19
2005;Campbell;16;LABA;240;3
2005;Campbell;16;Placebo;217;0
2005;Wouter;30;LABA-ICS;189;2
2005;Wouter;30;LABA;184;4
2006;Stockley;15;LABA;316;6
2006;Stockley;15;Placebo;318;5
2007;Chan;6;TIO-HH;608;15
2007;Chan;6;Placebo;305;4
2007;Powrie;7;TIO-HH;69;1
2007;Powrie;7;Placebo;73;2
2007;Choudhury;19;ICS;128;3
2007;Choudhury;19;Placebo;132;0
2007;Kardos;29;LABA-ICS;507;7
2007;Kardos;29;LABA;487;9
2007;Zheng;34;LABA-ICS;297;2
2007;Zheng;34;Placebo;148;0
2007;Calverley_b;36;LABA-ICS;1546;193
2007;Calverley_b;36;LABA;1542;205
2007;Calverley_b;36;ICS;1552;246
2007;Calverley_b;36;Placebo;1544;231
2008;Tashkin;3;TIO-HH;2986;381
2008;Tashkin;3;Placebo;3006;411
2008;Tonnel;4;TIO-HH;266;3
2008;Tonnel;4;Placebo;288;6
2008;Ambrosino;5;TIO-HH;117;0
2008;Ambrosino;5;Placebo;117;0
2008;Wedzicha;14;TIO-HH;665;38
2008;Wedzicha;14;LABA-ICS;658;21
2008;Ferguson;28;LABA-ICS;394;6
2008;Ferguson;28;LABA;388;3
2008;Tashkin;35;LABA-ICS;845;7
2008;Tashkin;35;LABA;284;1
2008;Tashkin;35;ICS;275;2
2008;Tashkin;35;Placebo;300;1
2009;Shaker;18;ICS;127;5
2009;Shaker;18;Placebo;127;5
2009;Anzueto;27;LABA-ICS;394;4
2009;Anzueto;27;LABA;403;6
2009;Rennard;32;LABA-ICS;988;7
2009;Rennard;32;LABA;495;4
2009;Rennard;32;Placebo;481;4
2010;Calverley_a;26;LABA-ICS;479;6
2010;Calverley_a;26;LABA;239;0
2011;Bateman;1;TIO-SMI;1989;52
2011;Bateman;1;Placebo;2002;38
2011;Vogelmeier;12;TIO-HH;3707;64
2011;Vogelmeier;12;LABA;3669;78
2012;Bateman;2;TIO-SMI;1337;35
2012;Bateman;2;Placebo;653;9
2013;FLTA3025;25;ICS;434;0
2013;FLTA3025;25;Placebo;206;0
2013;SCO40041;31;LABA-ICS;92;5
2013;SCO40041;31;LABA;94;7
2013;SFCT01/SCO30002;33;LABA-ICS;132;1.5
2013;SFCT01/SCO30002;33;LABA;132;0.5
2013;SFCT01/SCO30002;33;Placebo;126;0.5
