year;study;id;r;n;t;rob
2015;AVERT 2015;1;54;116;MTX;1
2015;AVERT 2015;1;75;119;MTX and ABAT(sc);1
2009;AGREE 2009;2;107;253;MTX;1
2009;AGREE 2009;2;147;256;MTX and ABAT(IV);1
2014;HOPEFUL-I 2014;3;63;163;MTX;1
2014;HOPEFUL-I 2014;3;110;171;MTX and ADA ;1
2013;HITHARD 2013;4;41;85;MTX;1
2013;HITHARD 2013;4;56;87;MTX and ADA ;1
2013;OPTIMA 2013;5;176;517;MTX;1
2013;OPTIMA 2013;5;268;515;MTX and ADA ;1
2008;Bejarano 2008;6;33;73;MTX;1
2008;Bejarano 2008;6;42;75;MTX and ADA ;1
2006;PREMIER 2006;7;111;257;MTX;1
2006;PREMIER 2006;7;158;268;MTX and ADA ;1
2015;C-EARLY 2015;8;112;217;MTX;2
2015;C-EARLY 2015;8;405;659;MTX and CTZ ;2
2013;Takeuchi 2013b;9;65;176;MTX;1
2013;Takeuchi 2013b;9;113;182;ETN;1
2008;COMET 2008;10;119;263;MTX;1
2008;COMET 2008;10;181;265;MTX and ETN;1
2004;TEMPO 2004;11;98;228;MTX;1
2004;TEMPO 2004;11;159;231;MTX and ETN;1
2004;TEMPO 2004;11;107;223;ETN;1
2000;ERA 2000;12;93;217;MTX;1
2000;ERA 2000;12;101;207;ETN;1
2013;GOBEFORE 2013;13;57;160;MTX;2
2013;GOBEFORE 2013;13;67;158;MTX and GOL;2
2007;Durez 2007;14;5;14;MTX;1
2007;Durez 2007;14;10;15;MTX and IFX ;1
2005;Quinn 2005;15;4;10;MTX;1
2005;Quinn 2005;15;8;10;MTX and IFX ;1
2004;ASPIRE 2004;16;88;298;MTX;1
2004;ASPIRE 2004;16;160;373;MTX and IFX ;1
2012;IMAGE 2012;17;102;249;MTX;1
2012;IMAGE 2012;17;156;250;MTX and RTX;1
2013;FUNCTION 2013;18;117;287;MTX;2
2013;FUNCTION 2013;18;151;288;MTX and TCZ 4 mg/kg;2
2013;FUNCTION 2013;18;162;290;MTX and TCZ 8 mg/kg ;2
2013;FUNCTION 2013;18;144;292;TCZ;2
2010;AMBITION 2010;19;95;284;MTX;1
2010;AMBITION 2010;19;126;286;TCZ;1
2014;Conaghan 2014;20;11;37;MTX;1
2014;Conaghan 2014;20;20;36;MTX and TOFA;1
2012;TEAR 2012;21;91;244;MTX and ETN;1
2012;TEAR 2012;21;41;132;triple;1
2006;CIMESTRA 2006;22;42;80;MTX;1
2006;CIMESTRA 2006;22;54;80;MTX and CyA;1
2005;Sarzi-Puttini 2005;23;19;32;MTX and CyA;3
2005;Sarzi-Puttini 2005;23;6;35;CyA;3
2003;Gerards 2003;24;29;60;MTX and CyA;3
2003;Gerards 2003;24;15;60;CyA;3
2003;Marchesoni 2003;25;13;31;IM/sc MTX;3
2003;Marchesoni 2003;25;15;30;IM/sc MTX and CyA;3
2007;MASCOT 2007;26;4;54;MTX;1
2007;MASCOT 2007;26;6;56;MTX and SSZ;1
2007;MASCOT 2007;26;3;55;SSZ;1
2002;Odell 2002;27;10;25;MTX and HCQ ;1
2002;Odell 2002;27;11;24;MTX and SSZ;1
2002;Odell 2002;27;20;30;triple;1
2002;Ferraccioli 2002;28;24;42;MTX;3
2002;Ferraccioli 2002;28;13;42;CyA;3
2002;Ferraccioli 2002;28;14;42;MTX and SSZ;3
2008;Braun 2008;29;110;190;MTX;2
2008;Braun 2008;29;117;193;IM/sc MTX;2
